DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2023-04-10 00:00:00,Monday,133.62,131.62,132.62
2023-04-11 00:00:00,Thuesday,134.48,132.48,133.48
2023-04-12 00:00:00,Wednesday,134.78,132.78,133.78
2023-04-13 00:00:00,Thursday,134.32,132.32,133.32
2023-04-14 00:00:00,Friday,133.6,131.6,132.6
2023-04-15 00:00:00,Saturday,,,
2023-04-16 00:00:00,Sunday,,,
2023-04-17 00:00:00,Monday,134.89,132.89,133.89
2023-04-18 00:00:00,Thuesday,135.47,133.47,134.47
2023-04-19 00:00:00,Wednesday,135.13,133.13,134.13
2023-04-20 00:00:00,Thursday,135.92,133.92,134.92
2023-04-21 00:00:00,Friday,135.32,133.32,134.32
2023-04-22 00:00:00,Saturday,,,
2023-04-23 00:00:00,Sunday,,,
2023-04-24 00:00:00,Monday,135.12,133.12,134.12
2023-04-25 00:00:00,Thuesday,135.34,133.34,134.34
2023-04-26 00:00:00,Wednesday,134.8,132.8,133.8
2023-04-27 00:00:00,Thursday,134.72,132.72,133.72
2023-04-28 00:00:00,Friday,135.13,133.13,134.13
2023-04-29 00:00:00,Saturday,,,
2023-04-30 00:00:00,Sunday,,,
2023-05-01 00:00:00,Monday,137.84,135.84,136.84
2023-05-02 00:00:00,Thuesday,138.67,136.67,137.67
2023-05-03 00:00:00,Wednesday,,,
2023-05-04 00:00:00,Thursday,,,
2023-05-05 00:00:00,Friday,,,
2023-05-06 00:00:00,Saturday,,,
2023-05-07 00:00:00,Sunday,,,
2023-05-08 00:00:00,Monday,136.14,134.14,135.14
2023-05-09 00:00:00,Thuesday,136.33,134.33,135.33
2023-05-10 00:00:00,Wednesday,136.15,134.15,135.15
2023-05-11 00:00:00,Thursday,135.18,133.18,134.18
2023-05-12 00:00:00,Friday,135.63,133.63,134.63
2023-05-13 00:00:00,Saturday,,,
2023-05-14 00:00:00,Sunday,,,
2023-05-15 00:00:00,Monday,137.05,135.05,136.05
2023-05-16 00:00:00,Thuesday,137.05,135.05,136.05
2023-05-17 00:00:00,Wednesday,137.49,135.49,136.49
2023-05-18 00:00:00,Thursday,138.62,136.62,137.62
2023-05-19 00:00:00,Friday,139.41,137.41,138.41
2023-05-20 00:00:00,Saturday,,,
2023-05-21 00:00:00,Sunday,,,
2023-05-22 00:00:00,Monday,138.72,136.72,137.72
2023-05-23 00:00:00,Thuesday,139.48,137.48,138.48
2023-05-24 00:00:00,Wednesday,139.63,137.63,138.63
2023-05-25 00:00:00,Thursday,140.54,138.54,139.54
2023-05-26 00:00:00,Friday,140.89,138.89,139.89
2023-05-27 00:00:00,Saturday,,,
2023-05-28 00:00:00,Sunday,,,
2023-05-29 00:00:00,Monday,141.77,139.77,140.77
2023-05-30 00:00:00,Thuesday,141.27,139.27,140.27
2023-05-31 00:00:00,Wednesday,140.77,138.77,139.77
2023-06-01 00:00:00,Thursday,140.19,138.19,139.19
2023-06-02 00:00:00,Friday,139.99,137.99,138.99
2023-06-03 00:00:00,Saturday,,,
2023-06-04 00:00:00,Sunday,,,
2023-06-05 00:00:00,Monday,141.18,139.18,140.18
2023-06-06 00:00:00,Thuesday,140.6,138.6,139.6
2023-06-07 00:00:00,Wednesday,140.51,138.51,139.51
2023-06-08 00:00:00,Thursday,141.0,139.0,140.0
2023-06-09 00:00:00,Friday,140.15,138.15,139.15
2023-06-10 00:00:00,Saturday,,,
2023-06-11 00:00:00,Sunday,,,
2023-06-12 00:00:00,Monday,140.43,138.43,139.43
2023-06-13 00:00:00,Thuesday,140.7,138.7,139.7
2023-06-14 00:00:00,Wednesday,141.07,139.07,140.07
2023-06-15 00:00:00,Thursday,141.39,139.39,140.39
2023-06-16 00:00:00,Friday,141.32,139.32,140.32
2023-06-17 00:00:00,Saturday,,,
2023-06-18 00:00:00,Sunday,,,
2023-06-19 00:00:00,Monday,142.97,140.97,141.97
2023-06-20 00:00:00,Thuesday,143.23,141.23,142.23
2023-06-21 00:00:00,Wednesday,142.65,140.65,141.65
2023-06-22 00:00:00,Thursday,142.97,140.97,141.97
2023-06-23 00:00:00,Friday,144.17,142.17,143.17
2023-06-24 00:00:00,Saturday,,,
2023-06-25 00:00:00,Sunday,,,
2023-06-26 00:00:00,Monday,144.49,142.49,143.49
2023-06-27 00:00:00,Thuesday,144.63,142.63,143.63
2023-06-28 00:00:00,Wednesday,144.87,142.87,143.87
2023-06-29 00:00:00,Thursday,145.35,143.35,144.35
2023-06-30 00:00:00,Friday,145.99,143.99,144.99
2023-07-01 00:00:00,Saturday,,,
2023-07-02 00:00:00,Sunday,,,
2023-07-03 00:00:00,Monday,145.51,143.51,144.51
2023-07-04 00:00:00,Thuesday,145.56,143.56,144.56
2023-07-05 00:00:00,Wednesday,145.56,143.56,144.56
2023-07-06 00:00:00,Thursday,145.44,143.44,144.44
2023-07-07 00:00:00,Friday,145.15,143.15,144.15
2023-07-08 00:00:00,Saturday,,,
2023-07-09 00:00:00,Sunday,,,
2023-07-10 00:00:00,Monday,143.54,141.54,142.54
2023-07-11 00:00:00,Thuesday,142.46,140.46,141.46
2023-07-12 00:00:00,Wednesday,140.89,138.89,139.89
2023-07-13 00:00:00,Thursday,139.68,137.68,138.68
2023-07-14 00:00:00,Friday,139.04,137.04,138.04
2023-07-15 00:00:00,Saturday,,,
2023-07-16 00:00:00,Sunday,,,
2023-07-17 00:00:00,Monday,,,
2023-07-18 00:00:00,Thuesday,139.88,137.88,138.88
2023-07-19 00:00:00,Wednesday,140.04,138.04,139.04
2023-07-20 00:00:00,Thursday,140.7,138.7,139.7
2023-07-21 00:00:00,Friday,141.09,139.09,140.09
2023-07-22 00:00:00,Saturday,,,
2023-07-23 00:00:00,Sunday,,,
2023-07-24 00:00:00,Monday,142.83,140.83,141.83
